"Oct,1,2018,9:30:00,AM,227.95"
"Oct,1,2018,9:40:00,AM,224.79"
"Oct,1,2018,9:50:00,AM,223.82"
"Oct,1,2018,10:00:00,AM,221"
"Oct,1,2018,10:10:00,AM,219.75"
"Oct,1,2018,10:20:00,AM,216.82"
"Oct,1,2018,10:30:00,AM,220.78"
"Oct,1,2018,10:40:00,AM,220.24"
"Oct,1,2018,10:50:00,AM,218.5"
"Oct,1,2018,11:00:00,AM,217.79"
"Oct,1,2018,11:10:00,AM,222.15"
"Oct,1,2018,11:20:00,AM,225.75"
"Oct,1,2018,11:30:00,AM,223.52"
"Oct,1,2018,11:40:00,AM,224.94"
"Oct,1,2018,11:50:00,AM,218.01"
"Oct,1,2018,12:00:00,PM,220.95"
"Oct,1,2018,12:10:00,PM,221.85"
"Oct,1,2018,12:20:00,PM,226.23"
"Oct,1,2018,12:30:00,PM,228.99"
"Oct,1,2018,12:40:00,PM,228.41"
"Oct,1,2018,12:50:00,PM,226.51"
"Oct,1,2018,1:00:00,PM,226.51"
"Oct,1,2018,1:10:00,PM,223.25"
"Oct,1,2018,1:20:00,PM,220.15"
"Oct,1,2018,1:30:00,PM,219.01"
"Oct,1,2018,1:40:00,PM,217.15"
"Oct,1,2018,1:50:00,PM,216.6"
"Oct,1,2018,2:00:00,PM,214.65"
"Oct,1,2018,2:10:00,PM,214.1"
"Oct,1,2018,2:20:00,PM,216.8"
"Oct,1,2018,2:30:00,PM,218.1"
"Oct,1,2018,2:40:00,PM,213.44"
"Oct,1,2018,2:50:00,PM,211.75"
"Oct,1,2018,3:00:00,PM,209.22"
"Oct,1,2018,3:10:00,PM,210.155"
"Oct,1,2018,3:20:00,PM,207.7"
"Oct,1,2018,3:30:00,PM,207.36"
"Oct,1,2018,3:40:00,PM,207.28"
"Oct,1,2018,3:50:00,PM,206.05"
"Oct,1,2018,4:00:00,PM,209.32"
